binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,disk
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,2,pipeline_view,query,2,3,0.0100,1,2,180393.5500,10277.31,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,2,pipeline_view_preagg,query,2,1,0.0500,1,2,20315.8600,5609.97,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,2,pipeline_view_preagg,query,2,2,0.0500,1,2,21149.3600,5609.97,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,2,pipeline_view_preagg,query,2,3,0.0500,1,2,20908.3600,5609.97,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,3,mi_coli_walk,query,2,1,0.0200,1,2,47673.8300,6363.17,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,3,mi_coli_walk,query,2,2,0.0200,1,2,48731.7900,6363.17,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,3,mi_coli_walk,query,2,3,0.0200,1,2,47474.5500,6363.17,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,4,base_hash_join,query,2,1,0.0100,1,2,142000.1400,5048.62,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,4,base_hash_join,query,2,2,0.0100,1,2,144310.3500,5048.62,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,4,base_hash_join,query,2,3,0.0100,1,2,139936.9800,5048.62,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,5,mi_acoli_preagg,query,2,1,5.1900,78,64367,192.5600,5192.06,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,5,mi_acoli_preagg,query,2,2,5.2400,79,64760,190.7400,5192.06,9483d7c9,ssd
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,5,mi_acoli_preagg,query,2,3,5.2600,79,66182,190.2500,5192.06,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,1,base_merge_join,query,2,1,0.0400,1,2,26443.7400,5070.40,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,1,base_merge_join,query,2,2,0.0400,1,2,27487.6000,5070.40,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,1,base_merge_join,query,2,3,0.0400,1,2,27162.1400,5070.40,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,2,pipeline_view,query,2,1,0.0600,1,2,16820.5600,5354.57,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,2,pipeline_view,query,2,2,0.0600,1,2,17040.5700,5354.57,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,2,pipeline_view,query,2,3,0.0600,1,2,16828.9600,5354.57,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,2,pipeline_view_preagg,query,2,1,0.4600,7,46583,2194.1400,4296.71,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,2,pipeline_view_preagg,query,2,2,0.4500,7,43987,2207.9600,4296.71,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,2,pipeline_view_preagg,query,2,3,0.4700,8,51995,2132.4300,4296.71,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,3,mi_coli_walk,query,2,1,0.0600,1,2,16091.9100,5175.90,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,3,mi_coli_walk,query,2,2,0.0600,1,2,16096.2800,5175.90,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,3,mi_coli_walk,query,2,3,0.0600,1,2,15970.7900,5175.90,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,4,base_hash_join,query,2,1,0.0100,1,2,101534.1900,4132.90,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,4,base_hash_join,query,2,2,0.0100,1,2,95894.4500,4132.90,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,4,base_hash_join,query,2,3,0.0100,1,2,98922.0900,4132.90,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,5,mi_acoli_preagg,query,2,1,0.6400,10,42875,1572.7200,4287.42,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,5,mi_acoli_preagg,query,2,2,0.6500,10,43687,1538.7400,4287.42,9483d7c9,ssd
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,5,mi_acoli_preagg,query,2,3,0.6000,9,40740,1669.1900,4287.42,9483d7c9,ssd
