binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss,disk
geo_btree,geo,btree,geo,c2,19,0.1,3,merged_idx,join-ns,0,1,5.05,,,198.01980198019803,501.516,,,,,,,,1.08,687688.0,100.0,0.0,0.0,538.54,186496.0,0.0,0.0,0.0,0.0,0.0,138925.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,3,merged_idx,join-nsc,0,1,160.47,,,6.231694397706737,501.516,,,,,,,,0.9,687688.0,100.0,0.0,0.0,15.24,5238.0,0.0,0.0,0.0,0.0,0.0,4106.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,3,merged_idx,mixed-n,0,1,0.2462,,,4061.7384240454912,501.516,,,,,,,,0.52,687688.0,100.0,0.0,0.0,14.75,4886.0,0.0,0.0,0.0,0.0,0.0,3859.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,3,merged_idx,mixed-ns,0,1,3.55,,,281.69014084507046,501.516,,,,,,,,0.79,687688.0,100.0,0.0,0.0,535.66,180379.0,0.0,0.0,0.0,0.0,0.0,138043.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,3,merged_idx,mixed-nsc,0,1,169.7,,,5.892751915144373,501.516,,,,,,,,1.16,687688.0,100.0,0.0,0.0,15.85,4816.0,0.0,0.0,0.0,0.0,0.0,4126.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,3,merged_idx,distinct-n,0,1,0.2151,,,4649.000464900047,501.516,,,,,,,,0.95,687688.0,100.0,0.0,0.0,14.66,4632.0,0.0,0.0,0.0,0.0,0.0,3900.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,3,merged_idx,distinct-ns,0,1,4.82,,,207.4688796680498,501.516,,,,,,,,1.72,687688.0,100.0,0.0,0.0,45.85,15810.0,0.0,0.0,0.0,0.0,0.0,11750.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,3,merged_idx,distinct-nsc,0,1,193.55,,,5.1666236114699045,501.516,,,,,,,,0.72,687688.0,100.0,0.0,0.0,15.82,5291.0,0.0,0.0,0.0,0.0,0.0,4078.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,3,merged_idx,maintain,0,1,490.9,,,2.0370747606437156,501.516,,,,,,,,0.41,687688.0,100.0,0.0,0.0,14.85,5307.0,0.0,0.0,0.0,0.0,0.0,3842.0,,,,,,,hdd
geo_btree,geo,btree,geo,c2,19,0.1,4,hash,join-n,0,1,0.2605,,,3838.771593090211,476.045,,nan,nan,nan,nan,nan,-11333833.729999999,5.03,687688.0,100.0,0.0,0.0,79.93,861862833.0,0.0,0.0,0.0,0.0,0.0,42734.0,,,,,,,hdd
