binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median,disk
geo_lsm,geo,lsm,geo,c2,3,0,merged_idx,join-nsc,3,300.79,3.44500000000005,,hdd
geo_lsm,geo,lsm,geo,c2,3,0,merged_idx,mixed-n,3,23.23,1.5350000000000001,,hdd
geo_lsm,geo,lsm,geo,c2,3,0,merged_idx,mixed-ns,3,175.07,4.910000000000025,,hdd
geo_lsm,geo,lsm,geo,c2,3,0,merged_idx,mixed-nsc,3,310.67,5.855000000000018,,hdd
geo_lsm,geo,lsm,geo,c2,3,0,merged_idx,distinct-n,3,21.43,0.6850000000000023,,hdd
geo_lsm,geo,lsm,geo,c2,3,0,merged_idx,distinct-ns,3,172.1,5.8799999999999955,,hdd
geo_lsm,geo,lsm,geo,c2,3,0,merged_idx,distinct-nsc,3,302.68,4.684999999999945,,hdd
geo_lsm,geo,lsm,geo,c2,3,0,merged_idx,maintain,3,79.0,3.0,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,join-n,3,9.08,0.34500000000000064,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,join-ns,3,62.09,3.2250000000000014,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,join-nsc,3,120.2,5.990000000000009,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,mixed-n,3,12.8,0.2900000000000009,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,mixed-ns,3,62.94,6.819999999999993,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,mixed-nsc,3,121.31,14.019999999999996,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,distinct-n,3,12.05,0.5350000000000001,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,distinct-ns,3,64.94,4.974999999999994,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,distinct-nsc,3,115.52,8.73999999999998,,hdd
geo_lsm,geo,lsm,geo,c2,4,0,hash,maintain,3,53.0,3.0,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,join-n,3,2.22,0.1900000000000004,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,join-ns,3,9.36,1.1300000000000008,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,join-nsc,3,10.3,4.074999999999999,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,mixed-n,3,3.36,0.8650000000000002,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,mixed-ns,3,7.96,3.0299999999999994,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,mixed-nsc,3,17.06,6.615,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,distinct-n,3,4.14,1.4500000000000002,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,distinct-ns,3,6.89,3.8049999999999997,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,distinct-nsc,3,15.01,2.3949999999999996,,hdd
geo_lsm,geo,lsm,geo,c2,1,1,base_idx,maintain,3,52.0,0.5,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,join-n,3,4.1,0.45999999999999996,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,join-ns,3,39.0,8.365000000000002,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,join-nsc,3,120.91,28.034999999999997,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,mixed-n,3,9.68,0.6699999999999999,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,mixed-ns,3,61.14,11.525000000000006,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,mixed-nsc,3,145.35,21.765000000000015,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,distinct-n,3,0.4093,0.13119999999999998,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,distinct-ns,3,35.96,7.870000000000001,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,distinct-nsc,3,96.62,29.03,,hdd
geo_lsm,geo,lsm,geo,c2,2,1,mat_view,maintain,3,1.0,0.0,,hdd
geo_lsm,geo,lsm,geo,c2,3,1,merged_idx,join-n,3,4.02,0.054999999999999716,,hdd
