binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,1,base_merge_join,query,2,2,0.07017814722673506,2,,14249.450000000003,3893.18,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,2,pipeline_view,query,2,2,0.0406091040738241,1,,24625.02,4977.66,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,3,mi_col_walk,query,2,2,0.0804103500986233,2,,12436.21,3839.1,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,4,base_hash_join,query,2,2,0.010117672579164717,1,,98836.96,3139.61,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,5,mi_acol_preagg,query,2,2,0.3248229714805431,8,,3078.6,3839.1,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10_lsm,vanilla,lsm,q10,c0,3850,1.0,7,preagg_view,query,2,2,0.29580897839411224,7,,3380.5599999999995,3290.1,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,1,base_merge_join,query,2,0,0.029786753651930464,1,,33571.97,6241.21,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,2,pipeline_view,query,2,0,0.005481918167021986,1,,182417.9,12155.96,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,3,mi_coli_walk,query,2,0,0.03339028603120723,1,,29948.829999999998,6361.72,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,4,base_hash_join,query,2,0,0.007832376491059303,1,,127675.17,5045.39,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,5,mi_acoli_preagg,query,2,0,2.581777812201482,69,,387.33000000000004,5190.98,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,7,preagg_view,query,2,0,0.03547971411865552,1,,28185.12,5611.55,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,1,base_merge_join,query,2,1,0.029726949054846515,1,,33639.51,6241.21,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,2,pipeline_view,query,2,1,0.00565661058948048,1,,176784.31,12155.96,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,3,mi_coli_walk,query,2,1,0.032119432899292734,1,,31133.799999999996,6505.37,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,4,base_hash_join,query,2,1,0.007821463519403604,1,,127853.31,5045.39,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,5,mi_acoli_preagg,query,2,1,2.619240943974436,71,,381.79,6505.37,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,7,preagg_view,query,2,1,0.03527950363149571,1,,28345.07,5611.55,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,1,base_merge_join,query,2,2,0.025099261303640576,1,,39841.81,6241.21,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,2,pipeline_view,query,2,2,0.005464486846433712,1,,182999.8,12155.96,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,3,mi_coli_walk,query,2,2,0.034564342387462824,1,,28931.55,6505.37,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,4,base_hash_join,query,2,2,0.007827360978633027,1,,127756.97999999998,5045.39,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,5,mi_acoli_preagg,query,2,2,2.525443846756067,68,,395.97,6505.37,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_btree,tpchi,btree,q10i,c0,1550,1.0,7,preagg_view,query,2,2,0.03572557754861804,1,,27991.15,5611.55,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,1,base_merge_join,query,2,0,0.04365433969973672,1,,22907.23,5494.21,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,2,pipeline_view,query,2,0,0.04355706127476709,1,,22958.39,6966.88,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,3,mi_coli_walk,query,2,0,0.06303107621150456,1,,15865.19,5712.05,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,4,base_hash_join,query,2,0,0.006764176326925088,1,,147837.66,4777.42,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,5,mi_acoli_preagg,query,2,0,0.41371378452958674,7,,2417.13,5712.05,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,7,preagg_view,query,2,0,0.2673803940652248,6,,3739.99,4776.19,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,1,base_merge_join,query,2,1,0.045444113964749004,1,,22005.05,5494.21,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,2,pipeline_view,query,2,1,0.048045370203991036,1,,20813.66,6966.88,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,3,mi_coli_walk,query,2,1,0.06456144700279938,1,,15489.12,5712.05,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,4,base_hash_join,query,2,1,0.006947012909495149,1,,143946.76,4777.42,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,5,mi_acoli_preagg,query,2,1,0.47576455363769576,8,,2101.88,5712.05,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,7,preagg_view,query,2,1,0.2765219074481176,6,,3616.3499999999995,4776.19,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,1,base_merge_join,query,2,2,0.04386099573232512,1,,22799.3,5494.21,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,2,pipeline_view,query,2,2,0.04401296093673664,1,,22720.58,6966.88,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,3,mi_coli_walk,query,2,2,0.06443095546596789,2,,15520.490000000002,5712.05,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,4,base_hash_join,query,2,2,0.006852940086046887,1,,145922.77,4777.42,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,5,mi_acoli_preagg,query,2,2,0.40663795802682995,7,,2459.19,5712.05,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q10i_lsm,tpchi,lsm,q10i,c0,3850,1.0,7,preagg_view,query,2,2,0.26944591142774,6,,3711.32,4776.19,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,1,base_merge_join,query,2,0,0.031118349930823908,1,,32135.38,4287.3,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3_btree,vanilla,btree,q3,c0,1550,1.0,2,pipeline_view,query,2,0,0.036153786639151225,1,,27659.62,4521.86,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
