binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,2,pipeline_view,query,2,0,0.09067,,,11029.006286533584,48.54,5f30442f
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,3,mi_col_walk,query,2,0,0.07987,,,12520.345561537499,44.65,5f30442f
q5_lsm,vanilla,lsm,q5,c0,3850,1.0,4,base_hash_join,query,2,0,0.01038,,,96339.11368015414,43.23,5f30442f
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,1,base_merge_join,query,2,0,0.02917,,,34281.79636612958,6.98,5f30442f
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,2,pipeline_view,query,2,0,0.005422,,,184433.78827001108,99.96,5f30442f
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,3,mi_coli_walk,query,2,0,0.03432,,,29137.529137529134,99.97,5f30442f
q5i_btree,tpchi,btree,q5i,c0,1550,1.0,4,base_hash_join,query,2,0,0.007681,,,130191.38133055592,99.96,5f30442f
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,1,base_merge_join,query,2,0,0.04317,,,23164.234422052352,52.56,5f30442f
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,2,pipeline_view,query,2,0,0.08837,,,11316.057485572026,38.65,5f30442f
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,3,mi_coli_walk,query,2,0,0.07504,,,13326.226012793179,51.46,5f30442f
q5i_lsm,tpchi,lsm,q5i,c0,3850,1.0,4,base_hash_join,query,2,0,0.00677,,,147710.48744460856,29.16,5f30442f
