binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median
q10_btree,vanilla,btree,q10,c4,1,2,base_merge_join,query,5,0.012677709797080576,0.00010423256735644058,
q10_btree,vanilla,btree,q10,c4,2,2,pipeline_view,query,5,0.002119195597430484,2.7961377853561332e-05,
q10_btree,vanilla,btree,q10,c4,3,2,mi_col_walk,query,5,0.015549526485819453,0.0007357034878389922,
q10_btree,vanilla,btree,q10,c4,4,2,base_hash_join,query,5,0.0032905015329788546,7.276185196858354e-05,
q10_btree,vanilla,btree,q10,c4,5,2,mi_acol_preagg,query,5,0.13076390968398285,0.01670222628509374,
q10_btree,vanilla,btree,q10,c4,7,2,preagg_view,query,5,0.01441205655002749,0.0006568893764298377,
q10_lsm,vanilla,lsm,q10,c4,1,2,base_merge_join,query,5,0.02557062773589735,0.0007059184778858557,
q10_lsm,vanilla,lsm,q10,c4,2,2,pipeline_view,query,5,0.016739920559032995,0.00020183486971989476,
q10_lsm,vanilla,lsm,q10,c4,3,2,mi_col_walk,query,5,0.03265458599372967,0.0005010288856494849,
q10_lsm,vanilla,lsm,q10,c4,4,2,base_hash_join,query,5,0.003800322540974698,6.355363030120711e-05,
q10_lsm,vanilla,lsm,q10,c4,5,2,mi_acol_preagg,query,5,0.12753637975232435,0.02698755624352625,
q10_lsm,vanilla,lsm,q10,c4,7,2,preagg_view,query,5,0.10566200415463001,0.0014402758141066618,
q10i_btree,tpchi,btree,q10i,c4,1,2,base_merge_join,query,5,0.007154211899171399,0.00012626618010372782,
q10i_btree,tpchi,btree,q10i,c4,2,2,pipeline_view,query,5,0.0021206191189930283,7.355743630501482e-06,
q10i_btree,tpchi,btree,q10i,c4,3,2,mi_coli_walk,query,5,0.01358178215799307,0.0001549362430456544,
q10i_btree,tpchi,btree,q10i,c4,4,2,base_hash_join,query,5,0.002837149545358134,9.471842209022186e-06,
q10i_btree,tpchi,btree,q10i,c4,5,2,mi_acoli_preagg,query,5,0.029355014555683966,0.0005178610195285781,
q10i_btree,tpchi,btree,q10i,c4,7,2,preagg_view,query,5,0.013835302073759593,0.00023429230677119925,
q10i_lsm,tpchi,lsm,q10i,c4,1,2,base_merge_join,query,5,0.017153591370234023,5.4663801374931625e-05,
q10i_lsm,tpchi,lsm,q10i,c4,2,2,pipeline_view,query,5,0.020333047179582692,8.981152788801322e-05,
q10i_lsm,tpchi,lsm,q10i,c4,3,2,mi_coli_walk,query,5,0.024633994271610973,0.00046507186863567473,
q10i_lsm,tpchi,lsm,q10i,c4,4,2,base_hash_join,query,5,0.002635593233293594,5.998505109983598e-05,
q10i_lsm,tpchi,lsm,q10i,c4,5,2,mi_acoli_preagg,query,5,0.075439245004036,0.0012001049629921101,
q10i_lsm,tpchi,lsm,q10i,c4,7,2,preagg_view,query,5,0.07003208169662523,0.00023303367101433492,
q3_btree,vanilla,btree,q3,c4,1,2,base_merge_join,query,5,0.012498190886869126,0.00030467889635455575,
q3_btree,vanilla,btree,q3,c4,2,2,pipeline_view,query,5,0.014005309973223247,0.0004930722435948637,
q3_btree,vanilla,btree,q3,c4,3,2,mi_col_walk,query,5,0.015055427308407268,0.0006376698736891232,
q3_btree,vanilla,btree,q3,c4,4,2,base_hash_join,query,5,0.0031951418507188186,0.000193259408300265,
q3_lsm,vanilla,lsm,q3,c4,1,2,base_merge_join,query,5,0.024861793291094805,0.0008568362433443513,
q3_lsm,vanilla,lsm,q3,c4,2,2,pipeline_view,query,5,0.0356430505318656,0.00039987865843714443,
q3_lsm,vanilla,lsm,q3,c4,3,2,mi_col_walk,query,5,0.030987381938074814,0.004754479258010182,
q3_lsm,vanilla,lsm,q3,c4,4,2,base_hash_join,query,5,0.0038414223957384183,0.00011012906297407392,
q3i_btree,tpchi,btree,q3i,c4,1,2,base_merge_join,query,5,0.007060933170103388,0.00016409870412517364,
q3i_btree,tpchi,btree,q3i,c4,2,2,pipeline_view,query,5,0.013666491416691734,0.0004387720057679352,
q3i_btree,tpchi,btree,q3i,c4,3,2,mi_coli_walk,query,5,0.013526839278153747,0.0002663280626316062,
q3i_btree,tpchi,btree,q3i,c4,4,2,base_hash_join,query,5,0.0027932580136896456,0.0005016856378124092,
q3i_lsm,tpchi,lsm,q3i,c4,1,2,base_merge_join,query,5,0.01841468357404701,0.0006044473562302824,
q3i_lsm,tpchi,lsm,q3i,c4,2,2,pipeline_view,query,5,0.03446015751048795,0.001253101887602151,
q3i_lsm,tpchi,lsm,q3i,c4,3,2,mi_coli_walk,query,5,0.021717464902947906,0.000702073456301619,
q3i_lsm,tpchi,lsm,q3i,c4,4,2,base_hash_join,query,5,0.0027852213592275735,3.826127311651849e-05,
q5_btree,vanilla,btree,q5,c4,1,2,base_merge_join,query,5,0.012681470254153148,0.00010622921507516883,
q5_btree,vanilla,btree,q5,c4,2,2,pipeline_view,query,5,0.014003260519179285,0.0003355350822534537,
q5_btree,vanilla,btree,q5,c4,3,2,mi_col_walk,query,5,0.015164823432927806,0.0006926273756868075,
q5_btree,vanilla,btree,q5,c4,4,2,base_hash_join,query,5,0.0032407013422142378,9.520045594537318e-05,
q5_lsm,vanilla,lsm,q5,c4,1,2,base_merge_join,query,5,0.02604359959007374,0.00015444995761123778,
q5_lsm,vanilla,lsm,q5,c4,2,2,pipeline_view,query,5,0.03383136485536922,0.00041642343957400824,
q5_lsm,vanilla,lsm,q5,c4,3,2,mi_col_walk,query,5,0.035715369930872896,0.005020449371954099,
q5_lsm,vanilla,lsm,q5,c4,4,2,base_hash_join,query,5,0.0037541493204633087,1.5057513065658713e-05,
q5i_btree,tpchi,btree,q5i,c4,1,2,base_merge_join,query,5,0.007227012607378953,0.0002740303738253862,
q5i_btree,tpchi,btree,q5i,c4,2,2,pipeline_view,query,5,0.013657884737832806,0.00022606194349513754,
q5i_btree,tpchi,btree,q5i,c4,3,2,mi_coli_walk,query,5,0.014152899433742495,0.00026324584148883917,
q5i_btree,tpchi,btree,q5i,c4,4,2,base_hash_join,query,5,0.00283668533092147,4.871521477586328e-05,
q5i_lsm,tpchi,lsm,q5i,c4,1,2,base_merge_join,query,5,0.01666360056416286,3.409503753213847e-05,
q5i_lsm,tpchi,lsm,q5i,c4,2,2,pipeline_view,query,5,0.03393147741724452,0.001350797904895458,
q5i_lsm,tpchi,lsm,q5i,c4,3,2,mi_coli_walk,query,5,0.021140594253648233,0.0011800098647902456,
q5i_lsm,tpchi,lsm,q5i,c4,4,2,base_hash_join,query,5,0.002703977591596903,1.0984169102028728e-05,
