binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q10_btree,vanilla,btree,q10,c4,4000,1.0,1,base_merge_join,query,2,0,0.012422784629288579,1,,80497.25,11064.89,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,2,pipeline_view,query,2,0,0.002052777020360079,1,,487144.97,26065.51,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,3,mi_col_walk,query,2,0,0.014521714973877614,1,,68862.39,11621.15,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,4,base_hash_join,query,2,0,0.0031192333174044485,1,,320591.6,8777.91,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,5,mi_acol_preagg,query,2,0,0.12265258287941658,8,,8153.11,11621.15,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,7,preagg_view,query,2,0,0.013865206346160406,1,,72122.98,10046.41,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,1,base_merge_join,query,2,1,0.012677709797080576,1,,78878.6,11064.89,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,2,pipeline_view,query,2,1,0.0021718778522864606,1,,460431.05000000005,26065.51,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,3,mi_col_walk,query,2,1,0.015765102495237365,1,,63431.23999999999,11621.15,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,4,base_hash_join,query,2,1,0.0032532203954016123,1,,307387.72,8777.91,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
q10_btree,vanilla,btree,q10,c4,4000,1.0,5,mi_acol_preagg,query,2,1,0.13076390968398285,8,,7647.37,11621.15,545c5eea,,,,,,,,,,,,,,,,,,,,,,,,,
