binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,disk
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,2,0.05985,,,16708.43776106934,5132.67,ae9fb9dc,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,2,0.1172,,,8532.423208191127,4858.94,ae9fb9dc,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,2,0.08732,,,11452.130096197894,5239.35,ae9fb9dc,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,2,0.009222,,,108436.34786380395,4202.31,ae9fb9dc,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,3,0.05793,,,17262.213015708614,5132.67,ae9fb9dc,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,3,0.1147,,,8718.39581517001,4858.94,ae9fb9dc,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,3,0.08608,,,11617.100371747212,5239.35,ae9fb9dc,ssd
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,3,0.009422,,,106134.57864572278,4202.31,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,1,0.02987,,,33478.40642785403,4290.28,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,1,0.03645,,,27434.842249657064,4673.23,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,1,0.04079,,,24515.812699190978,4390.67,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,1,0.008757,,,114194.35879867536,3404.91,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,2,0.03004,,,33288.948069241014,4290.28,ae9fb9dc,ssd
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,2,0.0378,,,26455.026455026455,4673.23,ae9fb9dc,ssd
