binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss,disk
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,2,0.1143,,,8748.906386701663,3903.77,ae9fb9dc,11167360039.0,,,,,1.28,,,,,,,,,,,,,,15597909.0,208083923.0,634941399.0,,,,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,2,0.01707,,,58582.308142940834,3115.58,ae9fb9dc,39220973356.0,,,,,2.36,,,,,,,,,,,,,,112109300.0,374102271.0,556076871.0,,,,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,3,0.08727,,,11458.691417440128,3818.5,ae9fb9dc,21040834677.0,,,,,2.58,,,,,,,,,,,,,,14129912.5,187521785.0,556089851.0,,,,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,3,0.1112,,,8992.805755395684,3759.19,ae9fb9dc,9898431101.0,,,,,1.35,,,,,,,,,,,,,,15453839.0,187787330.0,556099658.0,,,,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,3,0.1123,,,8904.719501335709,3903.77,ae9fb9dc,11203303723.5,,,,,1.3,,,,,,,,,,,,,,15485182.0,208091972.5,634936810.0,,,,ssd
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,3,0.01706,,,58616.647127784294,3115.58,ae9fb9dc,38959811805.0,,,,,2.3,,,,,,,,,,,,,,111612490.0,373883064.0,556090429.0,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,1,0.02029,,,49285.36224741252,6241.15,ae9fb9dc,18996158033.175003,13907633320.435001,257198310.365,15912829.08,40530473.015,0.20500000000000002,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,1,0.03758,,,26609.898882384245,6315.7,ae9fb9dc,9839867935.985,6460368428.66,137386743.3,7794290.620000001,19206506.435000002,0.195,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,1,0.0347,,,28818.44380403458,6362.41,ae9fb9dc,10576630312.05,7565620321.045,143890000.245,8836732.4,21592512.75,0.2,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,4,base_hash_join,query,2,1,0.007611,,,131388.7793982394,5047.73,ae9fb9dc,41142266186.395004,26655119036.489998,630432406.295,49653488.665,81104003.41499999,0.185,99.98,3110600.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,,,ssd
