binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,latency_p50_ms,latency_p99_ms,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,2,pipeline_view,query,2,3,0.2402,,,4163.197335553706,1465.73,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,3,mi_col_walk,query,2,3,0.2209,,,4526.935264825713,1525.65,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c1,1500,0.4,4,base_hash_join,query,2,3,0.01763,,,56721.497447532616,1219.15,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,1,base_merge_join,query,2,1,0.0568,,,17605.6338028169,3818.5,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,2,pipeline_view,query,2,1,0.09632,,,10382.059800664452,3759.19,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,3,mi_col_walk,query,2,1,0.07765,,,12878.3000643915,3903.77,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,4,base_hash_join,query,2,1,0.007114,,,140567.8942929435,3115.58,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,1,base_merge_join,query,2,2,0.06863,,,14570.887367040654,3818.5,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,2,pipeline_view,query,2,2,0.08612,,,11611.704598235021,3759.19,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,3,mi_col_walk,query,2,2,0.1014,,,9861.932938856015,3903.77,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,4,base_hash_join,query,2,2,0.005321,,,187934.59875963163,3115.58,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,1,base_merge_join,query,2,3,0.06728,,,14863.258026159332,3818.5,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,2,pipeline_view,query,2,3,0.08125,,,12307.692307692307,3759.19,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,3,mi_col_walk,query,2,3,0.09686,,,10324.179227751394,3903.77,,,,,,,,,,,,,,,,,,,,,,,,,
q3_lsm,vanilla,lsm,q3,c3,3850,0.4,4,base_hash_join,query,2,3,0.005092,,,196386.48860958364,3115.58,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,1,base_merge_join,query,2,1,0.001945,,,514138.8174807198,2496.55,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,2,pipeline_view,query,2,1,0.003209,,,311623.5587410408,2525.03,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,3,mi_coli_walk,query,2,1,0.002999,,,333444.48149383126,2544.34,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,4,base_hash_join,query,2,1,0.0007492,,,1334757.0742124934,2018.69,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,1,base_merge_join,query,2,2,0.002005,,,498753.11720698257,2496.55,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,2,pipeline_view,query,2,2,0.003225,,,310077.51937984495,2525.03,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,3,mi_coli_walk,query,2,2,0.003008,,,332446.8085106383,2544.34,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,4,base_hash_join,query,2,2,0.0007459,,,1340662.287169862,2018.69,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,1,base_merge_join,query,2,3,0.002057,,,486144.8711716092,2496.55,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,2,pipeline_view,query,2,3,0.003232,,,309405.9405940594,2525.03,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,3,mi_coli_walk,query,2,3,0.002971,,,336587.00774150115,2544.34,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c1,620,0.4,4,base_hash_join,query,2,3,0.0007456,,,1341201.7167381975,2018.69,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,1,base_merge_join,query,2,1,0.1041,,,9606.147934678194,1979.44,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,2,pipeline_view,query,2,1,0.1776,,,5630.630630630631,1873.55,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,3,mi_coli_walk,query,2,1,0.1623,,,6161.429451632779,2021.46,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,4,base_hash_join,query,2,1,0.007626,,,131130.34356150014,1618.07,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,1,base_merge_join,query,2,2,0.104,,,9615.384615384615,1979.44,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,2,pipeline_view,query,2,2,0.1702,,,5875.440658049354,1873.55,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,3,mi_coli_walk,query,2,2,0.1726,,,5793.742757821553,2021.46,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,4,base_hash_join,query,2,2,0.009955,,,100452.03415369161,1618.07,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,1,base_merge_join,query,2,3,0.1009,,,9910.802775024777,1979.44,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,2,pipeline_view,query,2,3,0.2155,,,4640.371229698376,1873.55,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,3,mi_coli_walk,query,2,3,0.1752,,,5707.762557077625,2021.46,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,4,base_hash_join,query,2,3,0.009025,,,110803.32409972299,1618.07,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,1,base_merge_join,query,2,1,0.002813,,,355492.3569143264,1718.12,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,2,pipeline_view,query,2,1,0.002209,,,452693.52648257127,1869.84,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,3,mi_col_walk,query,2,1,0.003296,,,303398.0582524272,1757.77,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,4,base_hash_join,query,2,1,0.0006975,,,1433691.7562724014,1363.16,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,1,base_merge_join,query,2,2,0.002819,,,354735.721887194,1718.12,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,2,pipeline_view,query,2,2,0.002209,,,452693.52648257127,1869.84,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,3,mi_col_walk,query,2,2,0.003297,,,303306.0357901122,1757.77,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,4,base_hash_join,query,2,2,0.0007082,,,1412030.499858797,1363.16,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c1,620,0.4,1,base_merge_join,query,2,3,0.002755,,,362976.4065335753,1718.12,,,,,,,,,,,,,,,,,,,,,,,,,
