binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha
q3_btree,vanilla,btree,q3,c1,620,0.4,4,base_hash_join,query,2,2,0.001532,,,652741.5143603133,1360.11,4285645c
q3_btree,vanilla,btree,q3,c1,620,0.4,1,base_merge_join,query,2,3,0.002781,,,359582.8838547285,1715.07,4285645c
q3_btree,vanilla,btree,q3,c1,620,0.4,2,pipeline_view,query,2,3,0.00342,,,292397.6608187135,1807.85,4285645c
q3_btree,vanilla,btree,q3,c1,620,0.4,3,mi_col_walk,query,2,3,0.003423,,,292141.396435875,1754.72,4285645c
q3_btree,vanilla,btree,q3,c1,620,0.4,4,base_hash_join,query,2,3,0.001535,,,651465.7980456026,1360.11,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,1,base_merge_join,query,2,1,0.0009821,,,1018226.2498727216,4282.67,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,2,pipeline_view,query,2,1,0.001345,,,743494.4237918216,4516.3,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,3,mi_col_walk,query,2,1,0.001347,,,742390.4974016332,4383.06,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,4,base_hash_join,query,2,1,0.0005424,,,1843657.8171091448,3397.3,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,1,base_merge_join,query,2,2,0.0009738,,,1026904.9086054631,4282.67,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,2,pipeline_view,query,2,2,0.001325,,,754716.9811320754,4516.3,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,3,mi_col_walk,query,2,2,0.001347,,,742390.4974016332,4383.06,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,4,base_hash_join,query,2,2,0.0005419,,,1845358.9223103893,3397.3,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,1,base_merge_join,query,2,3,0.0009824,,,1017915.309446254,4282.67,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,2,pipeline_view,query,2,3,0.001326,,,754147.8129713425,4516.3,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,3,mi_col_walk,query,2,3,0.001337,,,747943.1563201196,4383.06,4285645c
q3_btree,vanilla,btree,q3,c3,1550,0.4,4,base_hash_join,query,2,3,0.0005425,,,1843317.9723502304,3397.3,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,1,0.06405,,,15612.8024980484,3818.5,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,1,0.07671,,,13036.110024768608,3759.19,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,3,mi_col_walk,query,2,1,0.08942,,,11183.180496533214,3903.77,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,4,base_hash_join,query,2,1,0.005082,,,196772.92404565134,3115.58,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,1,base_merge_join,query,2,2,0.06643,,,15053.439710973957,3818.5,4285645c
q3_lsm,vanilla,lsm,q3,c0,3850,1.0,2,pipeline_view,query,2,2,0.09414,,,10622.477161674102,3759.19,4285645c
