binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median
q5i_btree,tpchi,btree,q5i,c1,3,2,mi_coli_walk,query,3,0.002879,4.5499999999999534e-05,
q5i_btree,tpchi,btree,q5i,c1,4,2,base_hash_join,query,3,0.0004797,4.000000000000097e-07,
q5i_btree,tpchi,btree,q5i,c3,1,2,base_merge_join,query,3,0.0006337,5.750000000000004e-06,
q5i_btree,tpchi,btree,q5i,c3,2,2,pipeline_view,query,3,0.0007734,3.449999999999894e-06,
q5i_btree,tpchi,btree,q5i,c3,3,2,mi_coli_walk,query,3,0.001121,4.500000000000164e-06,
q5i_btree,tpchi,btree,q5i,c3,4,2,base_hash_join,query,3,0.0001582,2.0000000000000486e-07,
q5i_lsm,tpchi,lsm,q5i,c1,1,2,base_merge_join,query,3,0.116,0.004500000000000004,
q5i_lsm,tpchi,lsm,q5i,c1,2,2,pipeline_view,query,3,0.2278,0.02300000000000002,
q5i_lsm,tpchi,lsm,q5i,c1,3,2,mi_coli_walk,query,3,0.1732,0.0019500000000000073,
q5i_lsm,tpchi,lsm,q5i,c1,4,2,base_hash_join,query,3,0.001953,6.550000000000002e-05,
q5i_lsm,tpchi,lsm,q5i,c3,1,2,base_merge_join,query,3,0.03567,0.001794999999999991,
q5i_lsm,tpchi,lsm,q5i,c3,2,2,pipeline_view,query,3,0.06163,0.016725000000000004,
q5i_lsm,tpchi,lsm,q5i,c3,3,2,mi_coli_walk,query,3,0.05675,0.003979999999999997,
q5i_lsm,tpchi,lsm,q5i,c3,4,2,base_hash_join,query,3,0.0006079,1.5200000000000153e-05,
